filing_year,lat,lon,geo_accuracy
2021,36.1269,-95.8744,1
2021,36.0707,-95.8576,1
2021,36.0927,-95.9199,1
2021,36.0927,-95.9179,1
2021,36.0936,-95.918,1
2021,36.0935,-95.918,1
2021,36.0769,-95.9771,1
2021,36.13681,-96.09712,1
2021,36.3659,-95.8311,1
2021,36.13681,-96.09712,1
2021,36.1401,-95.8319,1
2021,36.0772,-95.9798,1
2021,36.0772,-95.9776,1
2021,36.0782,-95.9771,1
2021,36.0652,-95.7855,1
2021,36.1624,-95.9075,1
2021,36.0914,-95.8947,1
2021,36.057,-95.9628,1
2021,36.117493,-96.12051,1
2021,36.0897,-95.9304,0.9
2021,36.0897,-95.9305,0.9
2021,36.0654,-95.9579,1
2021,36.0838,-95.9668,1
2021,36.1489,-95.8706,1
2021,36.1489,-95.8706,1
2021,36.1464,-96.0792,1
2021,36.0949,-95.9784,1
2021,36.2304,-95.9908,1
2021,36.07,-95.9778,1
2021,36.2004,-95.9824,1
2021,36.0705,-95.9778,1
2021,36.1584,-95.7687,1
2021,36.2257,-95.986,1
2021,36.1043,-95.8569,1
2021,36.130495,-95.852441,1
2021,36.1023,-95.8569,1
2021,36.1024,-95.8569,1
2021,36.0517,-95.8861,1
2021,36.0514,-95.8861,1
2021,36.0666,-95.9648,1
2021,36.1131,-95.9235,1
2021,36.1191,-95.8299,1
2021,36.1374,-95.9942,1
2021,36.1028,-95.8568,1
2021,36.0246,-95.8893,1
2021,36.0245,-95.8899,1
2021,36.085,-95.8107,1
2021,36.085,-95.8107,1
2021,36.0663,-95.9758,1
2021,36.0666,-95.8015,1
2021,36.1683,-95.9308,1
2021,36.1291,-95.82,1
2021,36.1296,-95.8218,1
2021,36.175288,-95.900802,1
2021,36.13,-95.8177,1
2021,36.1043,-95.8542,1
2021,36.1043,-95.8574,1
2021,36.219,-95.9864,1
2021,36.0896,-95.9627,1
2021,36.0896,-95.9625,1
2021,36.0951,-95.9153,1
2021,36.0883,-95.964,1
2021,36.0883,-95.964,1
2021,36.0896,-95.9604,1
2021,36.0777,-95.9594,1
2021,36.1174,-95.9059,1
2021,36.0737,-95.98,1
2021,36.130495,-95.852441,1
2021,36.1436,-95.8565,1
2021,36.1435,-95.8572,1
2021,36.1435,-95.8572,1
2021,36.1435,-95.8569,1
2021,36.1435,-95.8576,1
2021,36.1435,-95.8569,1
2021,36.1474,-95.9642,1
2021,36.359021,-95.838538,1
2021,36.202077,-95.98589,1
2021,36.1469,-95.9736,1
2021,36.0771,-95.8863,1
2021,36.0322,-95.8971,0.86
2021,36.1018,-95.8569,1
2021,36.1011,-95.8568,1
2021,36.029625,-95.828503,1
2021,36.1318,-95.8659,1
2021,36.1746,-95.9915,1
2021,36.128,-95.8679,0.9
2021,36.2993,-95.9858,1
2021,36.3717,-95.8407,1
2021,36.3245,-95.8486,1
2021,36.1092,-96.0046,1
2021,36.1314,-95.8688,1
2021,36.0886,-95.9243,1
2021,36.0462,-95.8115,1
2021,36.0462,-95.8142,1
2021,36.048,-95.9645,1
2021,36.0509,-95.9664,1
2021,36.0534,-95.9652,1
2021,36.052,-95.9649,1
2021,36.0501,-95.965,1
2021,36.05,-95.965,1
2021,36.1566,-95.9366,1
2021,36.1314,-95.8688,1
2021,36.1289,-95.8685,1
2021,36.129,-95.8685,1
2021,36.1324,-95.8666,1
2021,36.220227,-95.99419,1
2021,36.1324,-95.8668,1
2021,36.130369,-95.854063,1
2021,36.1264,-95.8812,1
2021,36.058,-95.88,1
2021,36.1463,-95.8666,1
2021,36.1388,-95.8868,1
2021,36.1547,-96.039,1
2021,36.0754,-95.9739,1
2021,36.0769,-95.9753,1
2021,36.0769,-95.9753,1
2021,36.1667,-95.8978,1
2021,36.1116,-95.8328,1
2021,36.0901,-95.8221,1
2021,36.0896,-95.9625,1
2021,36.0806,-95.9613,1
2021,36.1653,-95.935,1
2021,36.1737,-95.9506,1
2021,36.2195,-95.9805,1
2021,36.1276,-95.8735,1
2021,36.1765,-95.9984,1
2021,36.1124,-95.8202,1
2021,36.1506,-95.9554,1
2021,36.1617,-95.9668,1
2021,36.1305,-95.9086,1
2021,36.1105,-95.9388,1
2021,36.2195,-95.9489,1
2021,36.0924,-95.8894,1
2021,36.092,-95.8925,1
2021,36.092,-95.8925,1
2021,36.0921,-95.8924,1
2021,36.0922,-95.8924,1
2021,36.0922,-95.8924,1
2021,36.0922,-95.8924,1
2021,36.092,-95.8925,1
2021,36.0923,-95.8924,1
2021,36.0655,-95.9759,1
2021,36.0649,-95.9759,1
2021,36.0658,-95.9759,1
2021,36.0657,-95.9759,1
2021,36.0652,-95.9759,1
2021,36.0656,-95.9759,1
2021,36.0652,-95.9759,1
2021,36.065,-95.9759,1
2021,36.1016,-95.8547,1
2021,36.1016,-95.8554,1
2021,36.0604,-95.9662,1
2021,36.1307,-95.8551,1
2021,36.1387,-95.9953,1
2021,36.162,-95.9401,1
2021,36.1236,-95.8427,1
2021,36.1818,-95.9445,1
2021,36.1298,-95.8508,1
2021,36.119,-95.9256,1
2021,36.2634,-95.8266,1
2021,36.1035,-95.8321,1
2021,36.09006,-95.823419,0.9
2021,36.1035,-95.8321,1
2021,36.0836,-95.9562,1
2021,36.2477,-95.9999,1
2021,36.0468,-95.7853,1
2021,36.1537,-95.8919,1
2021,36.150111,-96.033774,1
2021,36.146742,-95.865194,1
2021,36.154957,-95.89838,1
2021,36.107952,-96.030143,1
2021,36.1246,-95.8638,1
2021,36.1409,-95.9533,1
2021,36.1464,-95.8875,1
2021,36.1336,-95.8929,1
2021,36.1336,-95.8928,1
2021,36.0927,-95.9154,1
2021,36.1419,-95.9742,1
2021,36.0946,-95.9181,1
2021,36.1085,-95.9388,1
2021,36.0681,-95.8679,1
2021,36.0022,-95.795,1
2021,36.0278,-95.8834,1
2021,36.0425,-95.889,1
2021,36.2019,-95.9589,1
2021,36.0577,-95.7917,1
2021,36.2645,-95.856,0.9
2021,36.1873,-95.9442,1
2021,36.1384,-95.9915,1
2021,36.1384,-95.9915,1
2021,36.068,-95.9296,1
2021,36.1019,-95.8569,1
2021,36.0718,-96.0294,1
2021,36.0715,-96.0294,1
2021,36.0715,-95.9399,0.95
2021,36.1823,-95.9586,1
2021,36.1393,-96.2884,1
2021,36.0739,-95.9784,1
2021,36.1308,-95.8469,1
2021,36.1743,-95.8926,1
2021,36.1377,-96.0033,1
2021,36.061,-95.9185,1
2021,36.0695,-95.8696,1
2021,36.0695,-95.8724,1
2021,36.0698,-95.87,1
2021,36.0695,-95.8706,1
2021,36.1403,-95.8984,1
2021,36.2438,-95.9946,1
2021,36.0483,-95.7871,0.9
2021,36.3074,-95.8174,1
2021,36.1516,-96.0413,1
2021,36.033,-95.9734,1
2021,36.033,-95.9734,1
2021,36.1725,-95.917,1
2021,36.1734,-95.9154,1
2021,36.151,-96.0408,1
2021,36.175,-95.9062,1
2021,36.154,-95.9687,1
2021,36.0926,-95.9199,1
2021,36.1093,-95.907,1
2021,36.0904,-95.9303,1
2021,36.1199,-95.9415,1
2021,36.1314,-95.8653,1
2021,36.1305,-95.8524,1
2021,36.1636,-95.8527,1
2021,36.1741,-95.9388,1
2021,36.137,-96.0069,1
2021,36.1742,-95.9535,1
2021,36.3659,-95.8307,1
2021,36.079,-95.8109,1
2021,36.16,-96.029,1
2021,36.0305,-95.9529,1
2021,36.0413,-95.9586,1
2021,36.079,-95.8109,1
2021,36.079,-95.8109,1
2021,36.079,-95.8109,1
2021,36.1006,-95.9769,1
2021,36.0446,-95.9058,1
2021,35.9705,-95.8901,1
2021,35.9698,-95.8919,1
2021,36.1587,-95.7892,1
2021,36.069784,-95.873511,1
2021,36.1966,-95.9107,1
2021,36.0969,-96.1331,1
2021,36.2805,-95.853,1
2021,36.0896,-95.9571,1
2021,36.0769,-95.9751,1
2021,36.0896,-95.9569,1
2021,36.0896,-95.9569,1
2021,36.0754,-95.9748,1
2021,36.2421,-95.9739,0.99
2021,36.1296,-95.8218,1
2021,36.0911,-95.8947,1
2021,36.0927,-95.8942,1
2021,36.0927,-95.8943,1
2021,36.1296,-95.8177,1
2021,36.1291,-95.82,1
2021,36.0465,-95.8833,1
2021,36.1296,-95.82,1
2021,36.1291,-95.8161,1
2021,36.0966,-96.0181,1
2021,36.149,-96.115,1
2021,36.1407,-96.1173,1
2021,36.0946,-96.0265,1
2021,36.0769,-95.9774,1
2021,36.0613,-95.9689,0.9
2021,36.0614,-95.9689,0.9
2021,36.1817,-95.9451,1
2021,36.0614,-95.9689,0.9
2021,36.0614,-95.9689,0.9
2021,36.0614,-95.9689,0.9
2021,36.1812,-95.9453,1
2021,36.0622,-95.9689,0.9
2021,36.1407,-96.0063,1
2021,36.0621,-95.9689,0.9
2021,36.05731,-95.779036,1
2021,36.1404,-96.0066,1
2021,36.1812,-95.9453,1
2021,36.1396,-95.9927,1
2021,36.0769,-95.9769,1
2021,36.1419,-95.9747,1
2021,36.0623,-95.9689,0.9
2021,36.0577,-95.958,1
2021,36.1355,-96.0014,1
2021,36.0628,-95.9691,0.9
2021,36.1356,-96.0016,1
2021,36.1377,-96.0033,1
2021,36.0631,-95.9689,0.9
2021,36.0634,-95.9688,0.9
2021,36.0634,-95.9688,0.9
2021,36.0642,-95.968,1
2021,36.0635,-95.9687,0.9
2021,36.0635,-95.9687,0.9
2021,36.274466,-95.834611,1
2021,36.0644,-95.9677,1
2021,36.0645,-95.9676,1
2021,36.0645,-95.9676,1
2021,36.1391,-95.8864,1
2021,36.1391,-95.8864,1
2021,36.081826,-95.975931,1
2021,36.1391,-95.8864,1
2021,36.1391,-95.8864,1
2021,36.1391,-95.8864,1
2021,36.1388,-95.8864,1
2021,36.1388,-95.8865,1
2021,36.1388,-95.8864,1
2021,36.1388,-95.8865,1
2021,36.1388,-95.8865,1
2021,36.1388,-95.8862,1
2021,36.0584,-95.8741,1
2021,36.0584,-95.874,1
2021,36.055642,-95.780141,1
2021,36.0924,-95.9259,1
2021,36.151,-95.9082,1
2021,36.0545,-95.8664,1
2021,36.095,-96.0158,1
2021,36.1355,-95.9013,1
2021,36.0523,-95.7961,0.9
2021,36.089,-95.9243,1
2021,35.9254,-95.8858,1
2021,36.0519,-95.8861,1
2021,36.1179,-95.8563,1
2021,36.171178,-95.876637,1
2021,36.156339,-95.769875,1
2021,35.999,-95.7975,1
2021,36.1145,-95.9234,1
2021,36.0228,-95.9468,1
